Treatment,PlantID,GrowthStage,Weeks_to
MP,MP-Pf-6,1,3
MP,MP-Pf-6,2,4
MP,MP-Pf-6,3,5.25
MP,MP-Pf-6,4,5.75
MP,MP-Pf-6,5,6
MP,MP-Pf-6,6,6.5
MP,MP-Pf-6,7,7
MP,MP-Pf-6,8,8
MP,MP-Pf-6,9,9
MP,MP-Pf-6,10,9
MP,MP-Pf-6,11,10
MP,MP-Pf-6,12,10.5
MP,MP-Pf-6,13,11
MP,MP-Pf-6,14,12
MP,MP-Pf-6,15,NA
MP,MP-Pf-7,-1,1
MP,MP-Pf-7,0,2
MP,MP-Pf-7,1,3
MP,MP-Pf-7,2,4
MP,MP-Pf-7,3,5.5
MP,MP-Pf-7,4,6
MP,MP-Pf-7,5,6.5
MP,MP-Pf-7,6,7
MP,MP-Pf-7,7,7.5
MP,MP-Pf-7,8,8
MP,MP-Pf-7,9,8.5
MP,MP-Pf-7,10,9
MP,MP-Pf-7,11,10
MP,MP-Pf-7,12,10.5
MP,MP-Pf-7,13,11
MP,MP-Pf-7,14,12
MP,MP-Pf-7,15,13
MP,MP-Pf-8,-1,1
MP,MP-Pf-8,0,2
MP,MP-Pf-8,1,3
MP,MP-Pf-8,2,4
MP,MP-Pf-8,3,5.5
MP,MP-Pf-8,4,6
MP,MP-Pf-8,5,6.5
MP,MP-Pf-8,6,7
